amfi_code,scheme_name,fund_house,category,plan,return_1yr_pct,return_3yr_pct,return_5yr_pct,benchmark_3yr_pct,alpha,beta,sortino_ratio,std_dev_ann_pct,max_drawdown_pct,aum_crore,expense_ratio_pct,morningstar_rating,risk_grade,cagr_pct,sharpe_ratio,score
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,Regular,12.42,12.36,14.45,11.49,0.87,0.89,1.29,14.0,-21.7,14288,1.54,4,Moderate,25.804686425584002,1.2082665673727178,47.5625
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,Direct,15.25,11.3,14.23,9.52,1.78,0.87,1.29,14.0,-24.43,1231,0.66,3,Moderate,21.524235873769705,0.953279496866011,59.875
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Regular,24.56,23.39,20.67,22.16,1.23,0.89,1.35,25.0,-13.35,19259,1.43,5,Very High,32.423536152454616,0.9453082575156093,66.25
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Direct,20.59,23.14,21.82,22.01,1.13,1.04,1.67,25.0,-24.78,36061,0.72,4,Very High,2.054484701809378,-0.05718662582817995,64.3125
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,Regular,5.34,6.07,5.43,4.47,1.6,0.22,2.11,4.0,-2.3,24101,0.77,5,Low,5.889418716346717,-0.22657538662791568,30.625
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Regular,10.94,14.84,11.32,14.06,0.78,0.97,1.7,14.0,-17.41,6434,1.55,5,Moderate,2.637074367211101,-0.20151706755966936,32.5
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,Direct,11.48,13.38,13.48,12.25,1.13,0.97,1.45,14.0,-33.5,10611,0.92,4,Moderate,19.017795344711462,0.7757902498211205,55.875
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,Regular,15.43,16.58,17.69,15.63,0.95,0.91,1.44,19.0,-13.67,23185,1.38,5,High,30.12315310072722,1.093698743534631,62.875
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,Direct,19.98,15.29,15.85,14.39,0.9,1.04,1.38,19.0,-32.22,18792,0.78,4,High,11.301817123279978,0.3006119210425479,55.75
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,Regular,6.83,7.37,6.41,5.39,1.98,0.44,2.79,4.0,-6.01,27953,0.56,3,Low,4.458209619173137,-0.5670947928476846,40.5
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,Regular,15.63,11.54,11.46,10.88,0.66,0.96,1.12,14.0,-25.91,36022,1.42,4,Moderate,18.785325598262204,0.7979728586052844,38.0
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Direct,14.12,14.41,13.02,13.53,0.88,1.03,1.27,14.0,-26.59,41553,0.8,3,Moderate,23.29511862010305,1.0265242847993006,58.375
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,Regular,14.02,18.08,17.55,17.19,0.89,1.0,1.45,19.0,-21.84,979,1.36,3,High,32.82740607461121,1.1801011976606495,67.875
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,Regular,16.67,14.76,12.6,14.21,0.55,0.92,1.5,15.0,-21.89,2571,1.41,4,Moderately High,17.08486725575018,0.6488787755249528,45.5
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,Regular,8.89,7.68,7.94,5.83,1.85,0.26,10.37,0.5,-2.62,39116,0.74,5,Low,7.237539728384412,0.495723392953312,47.375
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,Regular,15.84,14.0,14.7,13.14,0.86,0.88,1.68,14.0,-16.07,20909,1.51,4,Moderate,24.049492662391756,1.0816591793457038,48.4375
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,Direct,14.42,12.33,14.72,10.63,1.7,1.02,1.48,14.0,-18.14,39475,0.72,3,Moderate,16.274217354504273,0.6452074382933218,55.6875
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,Regular,21.3,20.15,21.88,19.35,0.8,1.03,1.14,25.0,-30.87,43630,1.53,4,Very High,16.373474033415757,0.4484340089089915,52.9375
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,Direct,10.14,11.77,12.31,9.97,1.8,1.04,1.24,13.0,-26.75,20284,0.89,5,Moderate,15.957231179671737,0.6648569985490621,55.625
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,Regular,6.19,5.31,8.71,4.42,0.89,0.37,2.38,4.0,-2.23,30030,0.55,4,Low,5.316889625171273,-0.35662950751436784,23.75
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,Regular,14.37,12.25,13.42,10.98,1.27,0.93,1.34,14.0,-17.86,35585,1.59,3,Moderate,13.53221114899239,0.4942725378672348,37.5
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,Regular,17.12,18.23,17.75,16.32,1.91,1.0,1.27,19.0,-21.92,47469,1.56,4,High,6.701543482038463,0.07599984804658923,60.5
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Regular,15.74,15.65,13.5,13.8,1.85,0.95,1.57,16.0,-19.5,35012,1.45,5,Moderately High,30.907454754005492,1.3067439695428413,77.125
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,Regular,4.26,6.18,8.26,4.66,1.52,0.47,9.7,0.5,-3.81,27623,0.6,3,Low,6.915272985067156,-0.08874729621557288,35.75
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,Regular,11.82,11.84,14.14,10.43,1.41,0.91,1.25,14.0,-27.54,25803,1.64,4,Moderate,6.367989237605243,0.030784850954585916,34.4375
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,Direct,13.95,12.14,13.66,10.71,1.43,0.87,1.54,14.0,-17.4,15866,0.75,4,Moderate,7.897557854375958,0.12961449795669325,45.25
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,Regular,14.88,15.18,18.94,13.76,1.42,1.0,1.18,19.0,-32.38,28996,1.38,5,High,28.214417193652032,0.9982309868636403,68.625
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,Regular,21.97,20.98,22.62,20.47,0.51,1.0,1.4,25.0,-14.45,21545,1.38,4,Very High,1.5215045330823962,-0.07597357117478923,44.375
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,Regular,14.82,13.78,12.86,12.44,1.34,1.03,1.25,14.0,-15.07,23500,1.6,5,Moderate,23.53836133468803,1.0272133278753697,49.8125
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,Regular,24.93,22.38,23.8,20.54,1.84,0.97,1.47,25.0,-23.61,41613,1.53,5,Very High,7.938764837247714,0.16266076928646786,65.4375
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,Regular,6.18,5.14,7.95,3.96,1.18,0.43,8.76,0.5,-3.66,38995,0.79,5,Low,6.509026855465327,-0.8155673679088258,23.0
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,Regular,13.76,12.1,11.31,11.17,0.93,0.9,1.29,13.0,-24.42,7350,1.57,4,Moderate,18.23237888770595,0.817099337349437,39.875
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,Regular,16.3,15.61,15.86,14.49,1.12,0.92,1.21,19.0,-13.43,41728,1.51,5,High,1.1717454918341197,-0.2058316078547031,41.1875
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,Regular,17.43,15.34,15.78,13.55,1.79,1.0,1.37,16.0,-12.14,17912,1.64,5,Moderately High,16.84112024730753,0.6195175900829826,51.0625
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Regular,15.12,14.81,12.68,13.19,1.62,0.96,1.66,14.0,-17.07,11361,1.46,5,Moderate,30.974107501859027,1.4482911703262604,67.375
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,Regular,14.91,14.56,15.68,12.86,1.7,0.99,1.55,16.0,-33.15,49046,1.52,5,Moderately High,22.516869007113847,0.9262873467360141,62.5625
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,Regular,11.16,13.58,14.26,13.04,0.54,0.98,1.03,17.0,-22.62,2989,1.6,5,High,31.94952310833252,1.2349300257743292,45.8125
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,Regular,11.96,12.82,12.35,11.0,1.82,0.91,1.63,14.0,-21.7,41828,1.54,5,Moderate,13.393275924001857,0.46403744922047735,48.1875
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,Regular,14.12,17.16,19.0,16.14,1.02,0.98,1.5,19.0,-26.99,37835,1.61,4,High,29.581086910433996,1.1321218524747252,62.875
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,Regular,20.2,20.08,20.61,19.39,0.69,0.98,1.23,25.0,-17.01,35124,1.52,4,Very High,32.287440451573616,0.949795824661604,54.5625
